,id,sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_desc,time_in_custody_in_days,time_in_jail_in_days,African-American_race,Asian_race,Hispanic_race,Native American_race,Other_race,Felony_c_charge_degree,High_score_text,Low_score_text,High_v_score_text
5475,8378,1,64,0,0,0,8,0.471343537583306,2.0,290.0,0,0,0,0,0,1,1,0,0
3174,4872,0,28,0,0,0,3,0.471343537583306,1.0,1.0,1,0,0,0,0,1,0,1,0
2901,4443,0,28,0,0,0,0,0.2527833130815687,1.0,1.0,0,0,0,0,0,1,0,0,0
4206,6443,1,28,0,0,0,5,0.5178204111103699,0.0,0.0,0,0,0,0,0,1,0,0,0
7184,11001,0,23,0,0,0,2,1.0071984998704016,0.0,1.0,0,0,1,0,0,1,0,1,0
6597,10096,0,24,0,0,0,0,0.471343537583306,1.0,1.0,0,0,0,0,1,1,0,1,0
1621,2488,0,46,0,0,0,0,0.3789268871010585,2.0,2.0,0,0,0,0,0,0,0,1,0
2474,3778,1,28,0,0,0,1,0.1077017448773867,0.0,0.0,0,0,0,0,0,0,0,1,0
2764,4230,1,31,0,0,0,0,0.471343537583306,81.0,80.0,0,0,1,0,0,1,1,0,0
242,359,1,32,0,1,0,14,0.5743903491748831,1.0,1.0,1,0,0,0,0,1,1,0,1
5617,8600,1,30,0,0,0,0,0.1077017448773867,0.0,0.0,0,0,1,0,0,0,0,1,0
341,510,1,51,0,0,0,1,0.4184397546311481,1.0,1.0,0,0,1,0,0,0,0,1,0
2277,3476,1,28,0,0,0,6,0.4391918395352028,1555.0,1.0,1,0,0,0,0,0,1,0,0
6318,9681,1,23,0,0,1,5,0.4088809184844745,2.0,1.0,1,0,0,0,0,1,0,0,0
1162,1791,1,28,0,0,0,9,0.3847189713237704,1.0,1.0,1,0,0,0,0,1,1,0,0
5445,8320,1,25,0,0,0,1,0.4975660525185274,1.0,68.0,0,0,0,0,1,1,0,1,0
4177,6395,1,57,0,0,0,1,0.3789268871010585,0.0,0.0,0,0,0,0,0,0,0,1,0
4175,6393,1,24,0,0,0,1,0.3789268871010585,2.0,1.0,1,0,0,0,0,0,0,0,0
1015,1565,1,36,0,0,0,16,0.5178204111103699,1.0,0.0,1,0,0,0,0,1,0,0,0
587,899,1,25,0,0,0,0,0.3787533268251586,3.0,0.0,1,0,0,0,0,0,0,1,0
725,1106,1,42,0,0,0,1,0.4391918395352028,1.0,0.0,0,0,0,0,0,1,0,1,0
1887,2874,1,33,0,0,0,2,0.3789268871010585,0.0,0.0,1,0,0,0,0,0,0,1,0
1268,1945,1,28,0,0,0,0,0.3847189713237704,0.0,0.0,1,0,0,0,0,1,0,1,0
3455,5308,1,36,0,0,0,8,0.4391918395352028,0.0,1.0,0,0,0,0,1,0,0,1,0
3086,4721,1,23,0,0,0,2,0.471343537583306,1.0,22.0,1,0,0,0,0,1,0,0,1
222,332,0,30,0,0,0,2,0.471343537583306,3.0,2.0,1,0,0,0,0,1,0,0,0
4260,6524,1,28,0,0,0,0,0.471343537583306,7.0,1.0,0,0,0,0,0,1,0,1,0
832,1258,1,52,1,0,0,9,0.3789268871010585,140.0,38.0,1,0,0,0,0,0,1,0,0
2433,3716,1,53,0,0,0,4,0.471343537583306,0.0,0.0,1,0,0,0,0,1,0,0,0
1532,2357,1,34,0,0,0,2,0.7462123285455343,240.0,0.0,1,0,0,0,0,0,0,1,0
1439,2212,0,26,0,0,0,3,0.4135571094738751,8.0,7.0,1,0,0,0,0,1,0,0,0
927,1427,1,32,0,0,0,14,0.5407152345120689,4.0,2.0,1,0,0,0,0,1,1,0,0
4745,7268,1,35,0,0,0,29,0.2527833130815687,9.0,31.0,1,0,0,0,0,1,0,0,1
2670,4081,1,27,0,0,0,1,0.4391918395352028,1.0,1.0,0,0,0,0,0,1,0,1,0
6315,9674,1,22,0,1,1,4,0.3789268871010585,3.0,2.0,0,0,0,0,0,0,1,0,0
5618,8601,1,59,0,0,0,9,0.7742632058007154,434.0,0.0,1,0,0,0,0,1,1,0,0
1203,1853,1,38,0,0,0,0,0.24300747643372,158.0,158.0,0,0,0,0,0,1,0,1,0
2482,3788,1,39,0,0,0,0,0.6003440908766216,0.0,0.0,0,0,0,0,0,1,0,1,0
4593,7047,1,40,0,0,0,2,0.4184397546311481,1.0,1.0,0,0,0,1,0,0,0,0,0
6855,10486,1,54,0,0,0,0,0.2704275238757435,1.0,1.0,0,0,0,0,0,0,0,1,0
5629,8616,1,44,0,0,0,4,0.5178204111103699,1.0,1.0,0,0,0,0,0,1,0,1,0
6772,10367,1,32,0,0,0,4,0.5178204111103699,1.0,1.0,1,0,0,0,0,1,0,0,0
3731,5723,1,22,0,0,0,2,0.3789268871010585,79.0,78.0,1,0,0,0,0,0,0,0,0
3680,5646,1,23,0,0,0,6,0.6003440908766216,1.0,1.0,1,0,0,0,0,1,0,0,0
6715,10281,0,63,0,0,0,0,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
2845,4367,0,35,0,0,0,3,0.3789268871010585,1.0,0.0,1,0,0,0,0,0,0,0,0
4254,6513,1,61,0,0,0,13,0.6003440908766216,66.0,66.0,1,0,0,0,0,1,0,1,0
5873,8992,1,33,0,0,0,9,0.7742632058007154,1.0,49.0,0,0,0,0,0,1,1,0,0
4081,6239,1,51,0,0,0,3,0.4391918395352028,3.0,3.0,1,0,0,0,0,1,0,1,0
6170,9446,1,31,0,0,0,3,0.54244724459776,0.0,0.0,0,0,0,0,1,1,0,0,0
830,1256,1,48,1,0,0,25,0.4391918395352028,4.0,6.0,1,0,0,0,0,1,1,0,1
3373,5178,0,31,0,0,0,3,0.4391918395352028,1.0,61.0,1,0,0,0,0,1,0,0,0
3065,4692,1,47,0,0,0,0,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
3390,5198,1,27,0,0,0,0,0.471343537583306,9.0,8.0,0,0,0,0,0,1,0,1,0
5749,8794,0,30,0,0,1,1,0.5178204111103699,0.0,0.0,0,0,0,0,0,1,0,1,0
1088,1674,1,24,0,0,0,1,0.2812364050932372,58.0,58.0,1,0,0,0,0,1,0,1,0
4610,7074,0,23,0,0,0,4,0.3789268871010585,5.0,133.0,0,0,0,0,0,0,1,0,0
724,1105,1,38,0,0,0,11,0.4391918395352028,4.0,268.0,0,0,0,0,0,1,0,1,0
5024,7678,1,28,0,1,0,7,0.6003440908766216,0.0,1.0,1,0,0,0,0,1,0,0,1
7059,10814,1,54,0,0,0,10,0.6003440908766216,19.0,0.0,1,0,0,0,0,1,0,1,0
5509,8425,1,57,0,0,0,16,0.3789268871010585,359.0,12.0,1,0,0,0,0,0,0,0,0
4886,7468,1,42,0,0,0,2,0.4671727745893927,0.0,1.0,0,0,0,0,0,1,0,0,1
6531,10006,1,20,0,0,0,0,0.3789268871010585,7.0,0.0,0,0,0,0,0,0,1,0,1
4962,7581,1,27,0,0,0,0,0.4102057645754411,0.0,0.0,1,0,0,0,0,0,0,1,0
2315,3536,1,25,0,0,0,0,0.4391918395352028,1.0,3.0,0,0,0,0,0,1,0,1,0
1688,2578,1,63,0,0,0,23,0.7742632058007154,56.0,2.0,0,0,0,0,1,1,0,1,0
6306,9662,1,56,0,0,0,3,0.3789268871010585,0.0,0.0,0,0,0,0,0,0,0,1,0
4073,6227,0,23,0,0,0,2,0.2527833130815687,0.0,0.0,1,0,0,0,0,1,0,0,0
4339,6645,0,37,0,0,0,3,0.4391918395352028,29.0,29.0,1,0,0,0,0,1,0,1,0
4863,7439,1,38,0,0,0,1,0.4391918395352028,78.0,77.0,1,0,0,0,0,1,0,1,0
1806,2748,1,44,0,0,0,0,0.3789268871010585,0.0,0.0,0,0,0,0,0,0,0,1,0
208,315,1,38,0,0,0,2,0.5178204111103699,0.0,1.0,1,0,0,0,0,1,0,1,0
2135,3281,1,30,0,0,0,3,0.6627689486123953,1.0,12.0,0,0,0,0,0,1,0,1,0
964,1486,1,25,0,0,0,0,0.5475313064458028,1.0,0.0,0,0,1,0,0,1,0,1,0
1182,1821,0,26,0,0,0,3,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
6122,9372,1,21,1,0,1,2,0.4391918395352028,36.0,36.0,1,0,0,0,0,1,1,0,1
4195,6427,1,36,0,0,0,4,0.3782583322229698,0.0,0.0,1,0,0,0,0,0,0,1,0
5050,7714,1,44,0,0,0,6,0.6003440908766216,195.0,194.0,1,0,0,0,0,1,0,1,0
1165,1795,0,22,0,0,0,0,0.471343537583306,0.0,0.0,0,0,1,0,0,1,0,0,0
4885,7467,0,21,0,0,0,0,0.3789268871010585,1.0,0.0,0,0,0,0,1,0,0,1,0
6191,9488,1,21,0,0,0,0,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
6553,10036,1,26,0,0,0,9,0.5846181494185388,1.0,1.0,1,0,0,0,0,0,0,1,0
6376,9774,1,46,0,0,0,0,0.3789268871010585,38.0,37.0,0,0,0,0,0,0,0,1,0
3587,5500,1,72,0,0,0,7,0.4238879068726547,0.0,0.0,0,0,0,0,0,1,0,1,0
646,993,1,39,0,0,0,2,0.798467289379897,32.0,4.0,0,0,0,0,0,1,0,1,0
4721,7237,1,40,0,0,0,3,0.2704275238757435,40.0,40.0,0,0,0,0,0,0,0,1,0
1483,2283,1,25,0,0,0,8,0.3789268871010585,3.0,1.0,1,0,0,0,0,0,1,0,1
2761,4227,1,32,0,0,0,0,0.2704275238757435,18.0,1.0,0,0,1,0,0,0,0,1,0
2535,3870,1,30,0,0,0,9,0.6663302325087592,3.0,196.0,1,0,0,0,0,1,1,0,0
3479,5344,1,32,0,0,0,0,0.5722961746655482,1.0,0.0,0,0,0,0,0,1,0,1,0
1796,2733,1,59,0,0,0,1,0.5435751671576845,0.0,0.0,0,0,0,0,1,1,0,1,0
182,275,1,22,0,0,0,1,0.4968077795161603,0.0,0.0,1,0,0,0,0,1,0,0,0
3940,6030,1,48,0,0,0,10,0.471343537583306,175.0,175.0,1,0,0,0,0,1,0,1,0
6180,9463,1,33,0,0,0,1,0.2579443356582979,0.0,0.0,0,0,1,0,0,0,0,1,0
1773,2697,1,50,0,0,0,11,0.3284393669724624,114.0,113.0,0,0,1,0,0,0,1,0,0
7002,10707,1,32,0,0,0,4,0.293919352725372,2.0,0.0,0,0,0,0,0,1,1,0,1
3267,5015,1,25,0,0,0,0,0.1836881861919933,1.0,1.0,0,0,0,0,0,0,0,1,0
1185,1826,1,47,0,0,0,2,0.3782583322229698,0.0,0.0,0,0,0,0,0,0,0,1,0
5221,7992,1,55,0,0,0,18,0.5178204111103699,56.0,55.0,0,0,0,0,0,1,0,0,0
2787,4269,1,30,0,0,0,12,0.5178204111103699,119.0,0.0,1,0,0,0,0,1,1,0,0
2348,3593,1,61,0,0,0,1,0.4391918395352028,1.0,1.0,0,0,0,0,0,1,0,1,0
4075,6229,1,38,0,0,0,5,0.2792505264821101,1.0,0.0,0,0,0,0,0,0,0,0,0
6109,9352,1,20,0,1,0,4,0.5407152345120689,1.0,0.0,0,0,0,0,0,1,1,0,1
3888,5953,1,53,0,0,0,18,0.4391918395352028,1.0,1.0,0,0,1,0,0,1,0,1,0
3476,5339,1,46,0,0,0,7,0.5407152345120689,36.0,36.0,0,0,0,0,0,1,0,0,0
4123,6315,1,30,0,0,0,9,0.5178204111103699,0.0,1.0,1,0,0,0,0,1,0,1,0
411,627,1,53,0,0,0,11,0.4391918395352028,110.0,110.0,1,0,0,0,0,1,0,0,0
3895,5964,0,23,0,0,0,1,0.4391918395352028,1.0,0.0,1,0,0,0,0,1,0,1,0
530,815,1,21,0,0,0,0,0.471343537583306,0.0,0.0,0,0,0,0,0,1,0,1,0
174,264,1,31,0,0,0,8,0.4391918395352028,117.0,117.0,0,0,1,0,0,1,1,0,0
1752,2669,1,65,0,0,0,4,0.3789268871010585,0.0,0.0,0,0,0,0,0,0,0,1,0
5778,8842,1,46,0,0,0,1,0.4391918395352028,11.0,10.0,0,0,0,0,0,1,0,1,0
6340,9717,0,55,0,0,0,0,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
7086,10863,1,29,0,0,0,2,0.3680063572924454,1.0,1.0,1,0,0,0,0,1,0,1,0
5594,8563,1,27,0,0,0,1,0.3646630927902778,1.0,0.0,0,0,1,0,0,0,0,1,0
6509,9965,1,20,0,0,0,1,0.3680063572924454,1.0,0.0,0,0,0,0,0,1,0,1,0
4290,6571,1,51,0,0,1,12,0.54244724459776,34.0,0.0,1,0,0,0,0,1,1,0,0
3553,5446,1,48,0,0,0,4,0.471343537583306,14.0,1.0,1,0,0,0,0,1,0,0,0
1771,2692,1,37,0,0,0,3,0.4391918395352028,83.0,83.0,0,0,1,0,0,1,0,1,0
501,769,1,27,0,0,0,2,0.6003440908766216,0.0,0.0,0,0,0,0,0,1,0,0,0
1901,2896,1,28,0,0,0,5,0.502875944213873,128.0,28.0,1,0,0,0,0,1,0,1,0
1732,2641,1,31,0,0,0,0,0.3789268871010585,1.0,1.0,0,0,0,0,1,0,0,1,0
4618,7086,1,50,1,0,0,13,0.3789268871010585,60.0,60.0,1,0,0,0,0,0,1,0,0
6200,9501,1,45,0,0,0,0,0.3789268871010585,1.0,1.0,0,0,1,0,0,0,0,1,0
3536,5428,1,25,0,0,0,5,0.4743839107769999,13.0,101.0,0,0,0,0,0,1,0,1,0
3687,5655,0,25,0,0,0,0,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
6505,9956,1,50,0,0,0,4,0.5178204111103699,1.0,0.0,1,0,0,0,0,1,0,1,0
2566,3930,1,45,0,0,0,2,0.4391918395352028,1.0,0.0,0,0,0,0,0,0,0,1,0
2174,3332,1,51,0,0,0,1,0.4135571094738751,12.0,7.0,1,0,0,0,0,1,0,1,0
4594,7048,1,28,0,0,0,0,0.50899549296254,10.0,0.0,1,0,0,0,0,0,0,1,0
6708,10272,1,22,0,0,0,0,0.3789268871010585,1.0,1.0,1,0,0,0,0,0,0,1,0
1576,2422,1,27,0,0,0,1,0.471343537583306,1.0,1.0,1,0,0,0,0,1,0,1,0
6759,10346,1,31,0,0,0,9,0.3789268871010585,2.0,27.0,1,0,0,0,0,0,1,0,1
4642,7121,1,40,0,0,0,0,0.0041194797552684,20.0,19.0,0,1,0,0,0,1,0,1,0
3506,5382,1,30,0,0,0,0,0.3664433400308426,1.0,0.0,0,0,0,0,1,1,0,1,0
3269,5019,1,30,0,0,0,8,0.4391918395352028,65.0,64.0,1,0,0,0,0,1,1,0,1
4346,6654,1,20,0,0,0,1,0.4686311523061437,6.0,6.0,1,0,0,0,0,1,0,0,0
2410,3684,1,26,0,1,1,5,0.9928097855021832,13.0,6.0,1,0,0,0,0,1,0,0,0
2499,3814,1,25,0,0,0,2,0.4391918395352028,247.0,18.0,1,0,0,0,0,1,0,1,0
2355,3602,1,35,0,0,0,10,0.5176994494023028,1.0,0.0,1,0,0,0,0,0,1,0,0
1738,2650,0,40,0,0,0,0,0.0008442444754613,0.0,0.0,1,0,0,0,0,1,0,1,0
2457,3751,1,41,1,0,0,18,0.632123265837647,3.0,33.0,1,0,0,0,0,0,1,0,1
4951,7567,0,30,0,0,0,3,-0.0046271296926299,0.0,0.0,1,0,0,0,0,0,0,0,0
4510,6920,1,38,0,1,0,10,0.0053342715028804,5.0,0.0,1,0,0,0,0,0,0,0,0
6136,9393,0,27,0,0,0,1,0.4391918395352028,26.0,25.0,0,0,0,0,0,1,0,0,0
350,524,1,27,0,0,0,0,0.3789268871010585,2.0,2.0,0,0,1,0,0,0,1,0,0
4763,7293,1,34,0,1,1,19,0.4391918395352028,1.0,1.0,1,0,0,0,0,0,1,0,0
6729,10303,1,22,0,0,0,0,0.5021272435076666,1.0,10.0,0,0,1,0,0,1,0,0,1
1825,2775,1,32,0,0,0,9,0.9957099294512184,5.0,4.0,0,0,0,0,0,0,0,0,0
1395,2148,0,38,0,0,0,14,0.6003440908766216,32.0,4.0,1,0,0,0,0,1,1,0,0
6226,9539,1,28,0,0,0,1,0.4391918395352028,14.0,14.0,0,0,0,0,0,1,1,0,1
2830,4337,1,41,0,0,0,0,0.3143916266572755,1.0,1.0,0,0,0,0,0,1,0,1,0
4304,6589,0,27,0,0,0,1,0.5666953454066385,0.0,0.0,1,0,0,0,0,1,0,0,0
68,99,1,33,0,0,0,0,0.3789268871010585,1.0,1.0,0,0,0,0,1,0,0,1,0
3921,5997,1,24,0,0,0,1,0.4821006283233208,1.0,0.0,0,0,0,0,0,1,0,0,0
59,87,1,35,0,0,0,5,0.5178204111103699,1.0,0.0,1,0,0,0,0,1,0,1,0
6110,9353,1,31,0,0,0,1,0.2547365250760369,36.0,36.0,0,0,0,0,0,1,0,1,0
6998,10699,1,57,0,0,0,28,0.6003440908766216,2.0,2.0,1,0,0,0,0,1,1,0,0
4791,7331,0,29,0,0,0,0,0.471343537583306,343.0,343.0,0,0,0,0,0,1,0,0,0
5634,8622,1,26,0,0,0,1,0.4391918395352028,8.0,4.0,1,0,0,0,0,1,1,0,0
575,883,1,28,0,0,0,8,0.4391918395352028,31.0,30.0,0,0,0,0,0,1,0,0,1
1499,2306,1,56,0,0,0,1,0.3789268871010585,2.0,2.0,0,0,0,0,0,0,0,1,0
5122,7832,1,40,0,0,0,8,0.4184397546311481,43.0,43.0,1,0,0,0,0,0,0,0,0
6330,9704,1,20,0,0,0,0,0.471343537583306,53.0,11.0,1,0,0,0,0,1,0,1,0
1397,2150,1,27,0,0,0,3,0.471343537583306,8.0,0.0,1,0,0,0,0,1,1,0,0
4369,6689,1,45,0,0,0,1,0.1077017448773867,1.0,1.0,0,0,0,0,0,0,0,1,0
1853,2824,1,53,0,0,0,9,0.7742632058007154,99.0,130.0,0,0,1,0,0,1,1,0,0
3869,5926,1,49,0,0,0,0,0.5046287014928776,0.0,0.0,1,0,0,0,0,0,0,1,0
5319,8140,1,31,1,0,0,16,0.5178204111103699,0.0,0.0,1,0,0,0,0,1,1,0,1
6216,9528,1,59,0,0,0,17,-0.0093557037890501,93.0,178.0,1,0,0,0,0,1,0,1,0
6018,9225,1,33,0,0,1,9,0.3789268871010585,0.0,1.0,1,0,0,0,0,0,1,0,0
3467,5326,1,34,0,0,0,3,0.3789268871010585,165.0,1.0,0,0,0,0,0,0,0,1,0
1883,2869,1,36,0,0,0,0,0.3646630927902778,1.0,1.0,0,0,1,0,0,0,0,1,0
3497,5370,1,23,0,0,0,1,0.3789268871010585,21.0,39.0,1,0,0,0,0,0,0,1,0
4891,7477,1,23,0,0,0,1,0.5407152345120689,47.0,2.0,1,0,0,0,0,1,1,0,0
4793,7334,1,26,0,1,0,24,0.5178204111103699,6.0,0.0,1,0,0,0,0,1,1,0,0
3470,5331,1,27,0,0,0,0,0.3789268871010585,1.0,0.0,1,0,0,0,0,0,0,1,0
1518,2335,1,28,0,0,0,4,0.4350272801930294,21.0,21.0,1,0,0,0,0,1,0,0,0
526,810,1,25,0,1,0,1,0.3789268871010585,1.0,0.0,1,0,0,0,0,0,0,1,0
2167,3323,1,30,0,0,0,4,0.3789268871010585,16.0,15.0,1,0,0,0,0,0,1,0,1
1003,1549,1,20,1,0,1,1,0.4391918395352028,2.0,1.0,1,0,0,0,0,1,1,0,1
601,921,1,30,0,0,0,1,0.4711053847741047,10.0,0.0,1,0,0,0,0,0,0,0,0
424,645,1,22,0,0,0,3,0.471343537583306,6.0,106.0,1,0,0,0,0,1,0,0,0
5149,7881,1,25,0,0,0,0,0.4711053847741047,3.0,1.0,1,0,0,0,0,0,0,1,0
4223,6471,1,47,0,0,0,28,0.8352334663617329,1.0,33.0,0,0,0,0,0,1,1,0,0
1108,1702,1,33,0,0,0,16,0.5178204111103699,5.0,0.0,1,0,0,0,0,1,1,0,0
2089,3200,1,35,0,0,0,1,0.5743903491748831,2.0,1.0,1,0,0,0,0,1,0,1,0
2333,3563,1,45,0,0,0,17,0.7742632058007154,47.0,46.0,1,0,0,0,0,1,0,0,0
62,91,1,38,0,0,0,4,0.3789268871010585,2.0,1.0,0,0,0,0,0,0,0,1,0
2025,3094,1,31,0,0,0,13,0.4711053847741047,1.0,0.0,1,0,0,0,0,0,1,0,1
5484,8390,1,36,0,0,0,0,0.6003440908766216,7.0,0.0,0,0,0,0,0,1,0,1,0
2027,3101,1,30,0,0,0,2,0.4391918395352028,1.0,0.0,1,0,0,0,0,1,0,1,0
5843,8943,0,51,0,0,0,4,0.4391918395352028,60.0,60.0,1,0,0,0,0,1,0,1,0
4401,6739,1,47,0,0,0,0,1.0016194360980517,220.0,1.0,1,0,0,0,0,1,1,0,0
2990,4584,1,62,0,0,0,3,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
4044,6183,0,23,0,0,0,2,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,0,0
2737,4186,1,59,0,0,0,0,0.5435751671576845,0.0,0.0,0,0,0,0,0,1,0,1,0
3979,6094,1,30,0,0,1,7,0.5021272435076666,0.0,0.0,0,0,0,0,0,1,1,0,1
888,1351,1,26,0,0,0,9,0.5178204111103699,14.0,11.0,1,0,0,0,0,1,0,0,0
2386,3649,1,26,0,0,0,4,0.4889265009673212,1.0,0.0,1,0,0,0,0,1,1,0,0
584,895,1,31,0,0,0,1,0.4391918395352028,1.0,0.0,0,0,0,0,1,1,0,1,0
2129,3270,1,21,0,1,0,1,0.4391918395352028,74.0,59.0,1,0,0,0,0,1,1,0,1
3785,5801,1,51,0,0,0,6,0.6003440908766216,33.0,2.0,0,0,0,0,0,1,0,1,0
3246,4978,1,25,0,0,0,1,0.4391918395352028,73.0,0.0,1,0,0,0,0,1,0,1,0
4773,7308,1,45,0,0,0,3,0.553433789621739,1.0,0.0,0,0,0,0,0,1,0,1,0
7130,10928,1,59,0,0,0,5,0.508173933357877,6.0,151.0,1,0,0,0,0,0,0,0,0
1161,1788,1,20,0,0,0,2,0.6849587909234305,1476.0,192.0,0,0,1,0,0,1,1,0,1
5165,7905,1,30,0,0,0,0,0.4391918395352028,1.0,1.0,0,0,0,0,1,1,0,1,0
1508,2320,0,22,0,0,1,0,0.471343537583306,1.0,0.0,1,0,0,0,0,1,0,1,0
4881,7462,1,53,0,0,0,3,0.3789268871010585,3.0,2.0,0,0,0,0,0,0,0,1,0
5170,7912,1,21,0,0,0,0,0.5407152345120689,18.0,28.0,0,0,0,0,0,1,0,1,0
6294,9643,1,43,0,0,0,0,0.4391918395352028,2.0,2.0,0,0,0,0,0,1,0,1,0
7081,10854,1,38,0,0,0,0,0.3789268871010585,1.0,1.0,0,0,0,0,1,0,0,1,0
3978,6089,1,27,0,0,0,4,0.4391918395352028,35.0,50.0,1,0,0,0,0,1,0,0,0
2884,4422,1,29,0,0,0,0,0.5178204111103699,1.0,1.0,1,0,0,0,0,1,1,0,0
27,37,1,27,0,0,0,8,0.5315615164080014,1.0,17.0,1,0,0,0,0,1,0,1,0
6631,10157,0,27,0,1,0,10,0.4391918395352028,15.0,14.0,1,0,0,0,0,1,1,0,1
1778,2706,0,28,0,0,0,1,0.5070136744078003,5.0,1.0,1,0,0,0,0,1,0,0,0
4543,6975,1,23,0,1,0,4,0.4391918395352028,398.0,192.0,1,0,0,0,0,1,1,0,1
1626,2495,1,21,0,0,0,0,0.4968077795161603,0.0,0.0,0,0,0,0,0,1,0,0,0
89,137,1,36,0,0,0,9,0.580654516840364,4.0,3.0,1,0,0,0,0,1,0,0,0
5847,8948,1,26,0,0,0,0,0.3789268871010585,1.0,1.0,0,0,0,0,1,0,0,1,0
1415,2176,1,42,0,0,0,1,0.3789268871010585,1.0,0.0,0,0,0,0,0,0,0,1,0
2798,4290,1,29,0,0,0,1,0.3944419827348675,0.0,0.0,1,0,0,0,0,0,0,1,0
